title,release_date,genres,overview,first_genre
Toy Story,1995-10-30,Animation|Comedy|Family,led woodi andi toy live happili room andi birthday bring buzz lightyear scene afraid lose place andi heart woodi plot buzz circumst separ buzz woodi owner duo eventu learn put asid differ,Animation
Jumanji,1995-12-15,Adventure|Fantasy|Family,when sibl judi peter discov enchant board game open door magic world unwit invit alan adult 's trap game year live room alan hope freedom finish game prove riski find run giant rhinoceros evil monkey terrifi creatur,Adventure
Waiting to Exhale,1995-12-22,Comedy|Drama|Romance,cheat mistreat step women hold breath wait elus good man break string less-than-stellar lover friend confid vannah berni glo robin talk determin find better way breath,Comedy
Father of the Bride Part II,1995-02-10,Comedy,just georg bank recov daughter wed receiv news 's pregnant georg wife nina expect plan sell home 's plan georg chang arriv grandchild kid,Comedy
Heat,1995-12-15,Action|Crime|Drama|Thriller,obsess master thief neil mccauley lead top-notch crew various insan heist los angel mental unstabl detect vincent hanna pursu rest man recogn respect abil dedic even awar cat-and-mous game may end violenc,Action
Sabrina,1995-12-15,Comedy|Romance,ugli duckl undergon remark chang still harbor feel crush carefre playboy business-focus brother someth say,Comedy
Tom and Huck,1995-12-22,Action|Adventure|Drama|Family,mischiev young boy tom sawyer wit murder dead injun joe tom becom friend huckleberri finn boy futur famili tom choos honor friendship honor oath town alcohol accus murder tom huck go sever adventur tri retriev evid,Action
Sudden Death,1995-12-22,Action|Adventure|Thriller,intern action superstar jean claud van damm team power booth tension-pack suspens thriller set back-drop stanley cup game.van damm portray father daughter sudden taken championship hockey game captor demand dollar game end van damm frantic set plan motion rescu daughter abort impend explos final buzzer ,Action
GoldenEye,1995-11-16,Adventure|Action|Thriller,jame bond must unmask mysteri head janus syndic prevent leader util goldeney weapon system inflict devast reveng britain,Adventure
The American President,1995-11-17,Comedy|Drama|Romance,widow u.s presid andrew shepherd world power men anyth want covet sydney ellen wade washington lobbyist shepherd attempt court spark wild rumor decim approv rate,Comedy
Dracula: Dead and Loving It,1995-12-22,Comedy|Horror,when lawyer show vampir doorstep fall prey charm join search fresh blood enter dr van hels may abl vanquish count,Comedy
Cutthroat Island,1995-12-22,Action|Adventure,morgan adam slave william shaw quest recov portion treasur map unfortun final portion held murder uncl dawg crew skeptic leadership abil must complet quest mutini made yet difficult effort british crown end pirat raid,Action
Sense and Sensibility,1995-12-13,Drama|Romance,rich mr dashwood die leav second wife daughter poor rule inherit daughter titular opposit,Drama
Four Rooms,1995-12-09,Crime|Comedy,'s ted bellhop first night job hotel unusu guest place outrag predica seem even room servic serv unbeliev happen,Crime
Ace Ventura: When Nature Calls,1995-11-10,Crime|Comedy|Adventure,summon ashram tibet ace find peril journey jungl africa find shikaka miss sacr anim friend wachati tribe must accomplish wed wachati princess princ warrior wachootoo ace fail result vicious tribal war,Crime
Money Train,1995-11-21,Action|Comedy|Crime,veng new york transit cop decid steal trainload subway fare foster brother fellow cop tri protect,Action
Get Shorty,1995-10-20,Comedy|Thriller|Crime,chili palmer miami mobster get sent boss psychopath bone barboni collect bad debt harri zimm hollywood produc special cheesi horror film when chili meet harri lead ladi romant spark fli pitch life stori movi idea chili learn mobster hollywood produc realli n't differ,Comedy
Copycat,1995-10-27,Drama|Thriller,agoraphob psychologist femal detect must work togeth take serial killer copi serial killer past,Drama
Assassins,1995-10-06,Action|Adventure|Crime|Thriller,assassin robert rath arriv funer kill promin mobster wit rival hire gun complet job grisli result horrifi murder innoc bystand rath decid take last job return civilian life find way world contract kill grow ever danger rath fall femal target becom mark man,Action
Powder,1995-10-27,Drama|Fantasy|Science Fiction|Thriller,harass classmat wo n't accept shock appear shi young man known powder struggl fit cruel taunt stop powder display mysteri power allow incred thing phenomenon chang live way never could imagin,Drama
Leaving Las Vegas,1995-10-27,Drama|Romance,ben sanderson alcohol hollywood screenwrit lost everyth drink arriv las vega drink death meet form uneasi friendship non-interfer pact prostitut sera,Drama
Othello,1995-12-15,Drama,evil iago pretend friend othello order manipul serv end film version shakespear classic,Drama
Now and Then,1995-10-20,Comedy|Drama|Family,wax nostalg bittersweet passag childhood puberti tender coming-of-ag tale childhood girlfriend teeni chrissi samantha roberta recal magic summer walk memori lane reconcil experi boy secret bulli,Comedy
Persuasion,1995-09-27,Drama|Romance,film adapt jane austen last novel follow ann elliot daughter financi troubl aristocrat famili persuad break engag frederick wentworth young sea captain meager mean year later money troubl forc ann father rent famili estat admir croft ann thrown compani frederick rich success perhap still love ann,Drama
Shanghai Triad,1995-04-30,Drama|Crime,provinci boy relat shanghai crime famili recruit uncl cosmopolitan shanghai servant ganglord mistress,Drama
Dangerous Minds,1995-08-11,Drama|Crime,former marin louann johnson land gig teach pilot program bright underachiev teen notori inner-c high school terribl first day decid must throw decorum wind when johnson return classroom arm no-nonsens attitud inform militari train fearless determin better live student matter cost,Drama
